Region,Local time,Time zone,CO2 Emissions Intensity for Consumed Electricity
NE,7/1/2018 4:00,Eastern,0.57
NE,7/1/2018 5:00,Eastern,0.57
NE,7/1/2018 6:00,Eastern,0.56
NE,7/1/2018 7:00,Eastern,0.55
NE,7/1/2018 8:00,Eastern,0.56
NE,7/1/2018 9:00,Eastern,0.59
NE,7/1/2018 10:00,Eastern,0.62
NE,7/1/2018 11:00,Eastern,0.64
NE,7/1/2018 12:00,Eastern,0.65
NE,7/1/2018 13:00,Eastern,0.66
NE,7/1/2018 14:00,Eastern,0.67
NE,7/1/2018 15:00,Eastern,0.66
NE,7/1/2018 16:00,Eastern,0.65
NE,7/1/2018 17:00,Eastern,0.65
NE,7/1/2018 18:00,Eastern,0.65
NE,7/1/2018 19:00,Eastern,0.66
NE,7/1/2018 20:00,Eastern,0.66
NE,7/1/2018 21:00,Eastern,0.68
NE,7/1/2018 22:00,Eastern,0.67
NE,7/1/2018 23:00,Eastern,0.66
NE,7/2/2018 0:00,Eastern,0.64
NE,7/2/2018 1:00,Eastern,0.63
NE,7/2/2018 2:00,Eastern,0.63
NE,7/2/2018 3:00,Eastern,0.62
NE,7/2/2018 4:00,Eastern,0.61
NE,7/2/2018 5:00,Eastern,0.61
NE,7/2/2018 6:00,Eastern,0.61
NE,7/2/2018 7:00,Eastern,0.63
NE,7/2/2018 8:00,Eastern,0.66
NE,7/2/2018 9:00,Eastern,0.68
NE,7/2/2018 10:00,Eastern,0.7
NE,7/2/2018 11:00,Eastern,0.71
NE,7/2/2018 12:00,Eastern,0.71
NE,7/2/2018 13:00,Eastern,0.72
NE,7/2/2018 14:00,Eastern,0.71
NE,7/2/2018 15:00,Eastern,0.7
NE,7/2/2018 16:00,Eastern,0.69
NE,7/2/2018 17:00,Eastern,0.68
NE,7/2/2018 18:00,Eastern,0.68
NE,7/2/2018 19:00,Eastern,0.69
NE,7/2/2018 20:00,Eastern,0.72
NE,7/2/2018 21:00,Eastern,0.71
NE,7/2/2018 22:00,Eastern,0.69
NE,7/2/2018 23:00,Eastern,0.68
NE,7/3/2018 0:00,Eastern,0.66
NE,7/3/2018 1:00,Eastern,0.65
NE,7/3/2018 2:00,Eastern,0.62
NE,7/3/2018 3:00,Eastern,0.62
NE,7/3/2018 4:00,Eastern,0.61
NE,7/3/2018 5:00,Eastern,0.61
NE,7/3/2018 6:00,Eastern,0.62
NE,7/3/2018 7:00,Eastern,0.63
NE,7/3/2018 8:00,Eastern,0.65
NE,7/3/2018 9:00,Eastern,0.67
NE,7/3/2018 10:00,Eastern,0.68
NE,7/3/2018 11:00,Eastern,0.7
NE,7/3/2018 12:00,Eastern,0.7
NE,7/3/2018 13:00,Eastern,0.7
NE,7/3/2018 14:00,Eastern,0.68
NE,7/3/2018 15:00,Eastern,0.68
NE,7/3/2018 16:00,Eastern,0.67
NE,7/3/2018 17:00,Eastern,0.67
NE,7/3/2018 18:00,Eastern,0.67
NE,7/3/2018 19:00,Eastern,0.67
NE,7/3/2018 20:00,Eastern,0.69
NE,7/3/2018 21:00,Eastern,0.69
NE,7/3/2018 22:00,Eastern,0.69
NE,7/3/2018 23:00,Eastern,0.68
NE,7/4/2018 0:00,Eastern,0.68
NE,7/4/2018 1:00,Eastern,0.64
NE,7/4/2018 2:00,Eastern,0.61
NE,7/4/2018 3:00,Eastern,0.6
NE,7/4/2018 4:00,Eastern,0.6
NE,7/4/2018 5:00,Eastern,0.59
NE,7/4/2018 6:00,Eastern,0.57
NE,7/4/2018 7:00,Eastern,0.58
NE,7/4/2018 8:00,Eastern,0.6
NE,7/4/2018 9:00,Eastern,0.63
NE,7/4/2018 10:00,Eastern,0.65
NE,7/4/2018 11:00,Eastern,0.67
NE,7/4/2018 12:00,Eastern,0.67
NE,7/4/2018 13:00,Eastern,0.66
NE,7/4/2018 14:00,Eastern,0.65
NE,7/4/2018 15:00,Eastern,0.67
NE,7/4/2018 16:00,Eastern,0.66
NE,7/4/2018 17:00,Eastern,0.66
NE,7/4/2018 18:00,Eastern,0.66
NE,7/4/2018 19:00,Eastern,0.67
NE,7/4/2018 20:00,Eastern,0.68
NE,7/4/2018 21:00,Eastern,0.67
NE,7/4/2018 22:00,Eastern,0.66
NE,7/4/2018 23:00,Eastern,0.66
NE,7/5/2018 0:00,Eastern,0.62
NE,7/5/2018 1:00,Eastern,0.62
NE,7/5/2018 2:00,Eastern,0.62
NE,7/5/2018 3:00,Eastern,0.61
NE,7/5/2018 4:00,Eastern,0.61
NE,7/5/2018 5:00,Eastern,0.61
NE,7/5/2018 6:00,Eastern,0.62
NE,7/5/2018 7:00,Eastern,0.65
NE,7/5/2018 8:00,Eastern,0.67
NE,7/5/2018 9:00,Eastern,0.67
NE,7/5/2018 10:00,Eastern,0.68
NE,7/5/2018 11:00,Eastern,0.68
NE,7/5/2018 12:00,Eastern,0.69
NE,7/5/2018 13:00,Eastern,0.68
NE,7/5/2018 14:00,Eastern,0.68
NE,7/5/2018 15:00,Eastern,0.68
NE,7/5/2018 16:00,Eastern,0.69
NE,7/5/2018 17:00,Eastern,0.69
NE,7/5/2018 18:00,Eastern,0.7
NE,7/5/2018 19:00,Eastern,0.72
NE,7/5/2018 20:00,Eastern,0.71
NE,7/5/2018 21:00,Eastern,0.69
NE,7/5/2018 22:00,Eastern,0.68
NE,7/5/2018 23:00,Eastern,0.66
NE,7/6/2018 0:00,Eastern,0.64
NE,7/6/2018 1:00,Eastern,0.62
NE,7/6/2018 2:00,Eastern,0.61
NE,7/6/2018 3:00,Eastern,0.6
NE,7/6/2018 4:00,Eastern,0.59
NE,7/6/2018 5:00,Eastern,0.58
NE,7/6/2018 6:00,Eastern,0.59
NE,7/6/2018 7:00,Eastern,0.59
NE,7/6/2018 8:00,Eastern,0.6
NE,7/6/2018 9:00,Eastern,0.62
NE,7/6/2018 10:00,Eastern,0.63
NE,7/6/2018 11:00,Eastern,0.63
NE,7/6/2018 12:00,Eastern,0.62
NE,7/6/2018 13:00,Eastern,0.61
NE,7/6/2018 14:00,Eastern,0.62
NE,7/6/2018 15:00,Eastern,0.61
NE,7/6/2018 16:00,Eastern,0.6
NE,7/6/2018 17:00,Eastern,0.61
NE,7/6/2018 18:00,Eastern,0.61
NE,7/6/2018 19:00,Eastern,0.61
NE,7/6/2018 20:00,Eastern,0.6
NE,7/6/2018 21:00,Eastern,0.58
NE,7/6/2018 22:00,Eastern,0.57
NE,7/6/2018 23:00,Eastern,0.54
NE,7/7/2018 0:00,Eastern,0.51
NE,7/7/2018 1:00,Eastern,0.47
NE,7/7/2018 2:00,Eastern,0.44
NE,7/7/2018 3:00,Eastern,0.43
NE,7/7/2018 4:00,Eastern,0.43
NE,7/7/2018 5:00,Eastern,0.43
NE,7/7/2018 6:00,Eastern,0.42
NE,7/7/2018 7:00,Eastern,0.44
NE,7/7/2018 8:00,Eastern,0.45
NE,7/7/2018 9:00,Eastern,0.47
NE,7/7/2018 10:00,Eastern,0.49
NE,7/7/2018 11:00,Eastern,0.52
NE,7/7/2018 12:00,Eastern,0.52
NE,7/7/2018 13:00,Eastern,0.53
NE,7/7/2018 14:00,Eastern,0.52
NE,7/7/2018 15:00,Eastern,0.53
NE,7/7/2018 16:00,Eastern,0.55
NE,7/7/2018 17:00,Eastern,0.55
